Name,Country,Team,Position,Appearances,Goals,Interceptions,Time Played (min),Fouls Conceded,Total Passes,Touches,Yellow Cards
Aurélien Tchouaméni,FR,RMA,Midfielder,27,3,28,1987,20,1490,1778,7
Axel Witsel,BE,ATM,Midfielder,35,2,16,2784,24,1819,2152,5
Ayoze Pérez,ES,BET,Forward,31,9,22,2307,36,710,1278,4
Aïssa Mandi,DZ,VIL,Defender,16,1,8,1113,7,729,835,3
Tiago Manuel Dias Correia,CV,RAY,Midfielder,19,2,0,194,0,68,165,1
Ben Brereton,CL,SHU,Forward,14,6,3,1110,11,254,440,3
Benito Ramírez,ES,LPA,Midfielder,20,1,3,368,4,151,258,0
Bernardo Espinosa,CO,NONE,NONE,0,0,0,0,0,0,0,0
Bertrand Traoré,BF,VIL,Midfielder,11,1,1,569,7,201,338,4
Beñat Prados,ES,ATH,Midfielder,26,0,23,1450,29,782,1058,1
Beñat Turrientes,ES,RSO,Midfielder,29,0,6,1688,36,685,949,4
Borja García,ES,GIR,Midfielder,0,0,0,0,0,0,0,0
Borja Iglesias,ES,LVK,Forward,7,0,1,252,2,73,105,0
Borja Mayoral,ES,GET,Forward,27,15,4,2161,31,533,848,2
Borja Vázquez,ES,CAD,Forward,1,0,0,3,0,1,5,0
Boubakary Soumaré,FR,SEV,Midfielder,28,0,26,2286,33,1226,1488,10
Brahim Díaz,MA,RMA,Midfielder,31,8,5,1551,22,697,1105,0
Brais Méndez,ES,RSO,Midfielder,32,5,12,2420,58,1129,1688,7
Brian Ocampo,UY,CAD,Midfielder,13,1,3,237,9,107,208,2
Bruno Iribarne,ES,ALM,Goalkeeper,0,0,0,0,0,0,0,0
Bruno Alberto Langa,MZ,ALM,Defender,11,1,4,819,4,317,538,1
Bruno Méndez,UY,GRA,Defender,17,2,26,1336,14,543,820,4
Bryan Fiabema,NO,RSO,Forward,0,0,0,0,0,0,0,0
Bryan Zaragoza,ES,BAY,Forward,7,0,2,178,2,71,129,1
Miguel Jiménez Capitas,ES,SEV,Midfielder,0,0,0,0,0,0,0,0
Carl Starfelt,SE,CEL,Defender,27,1,34,2218,15,1031,1360,4
Carles Aleñá,ES,GET,Midfielder,29,1,4,1008,22,357,586,6
Carles Garrido,ES,GIR,Forward,0,0,0,0,0,0,0,0
Carles Pérez,ES,CEL,Forward,16,1,5,769,15,236,431,3
Carlos Benavídez,UY,ALA,Midfielder,29,3,19,1120,38,451,656,5
Carlos Domínguez,ES,CEL,Defender,22,0,22,1585,15,855,1096,2
Carlos Dotor,ES,CEL,Midfielder,17,0,4,702,14,336,438,2
Carlos Fernández,ES,RSO,Forward,10,2,0,406,15,82,161,3
Carlos Neva,ES,GRA,Defender,36,0,30,3152,22,1264,2088,4
Carlos Romero,ES,VIL,Defender,22,0,14,1719,21,821,1215,4
Carlos Vicente,ES,ALA,Forward,18,2,4,1118,18,260,551,1
Cenk Özkacar,TR,VAL,Defender,23,0,18,1595,13,831,1053,3
Chadi Riad,MA,BET,Defender,26,0,23,2164,15,1195,1450,1
Chimy Ávila,AR,BET,Forward,6,1,1,301,3,78,141,2
Chris Ramos,ES,CAD,Forward,37,5,9,2627,61,467,1017,5
Juan Brandáriz Movilla,ES,ALM,Defender,31,0,14,2432,23,1176,1485,4
Claudio Bravo,CL,BET,Goalkeeper,7,0,0,630,0,199,261,0
Coke Carrillo,ES,CEL,Goalkeeper,0,0,0,0,0,0,0,0
Conan Ledesma,AR,CAD,Goalkeeper,34,0,0,3049,1,1066,1396,0
José Manuel Arias Copete,ES,MLL,Defender,19,1,32,1336,36,571,791,7
Cristhian Mosquera,ES,VAL,Defender,36,0,36,3074,25,1624,2038,2
Cristhian Stuani,UY,GIR,Forward,31,9,5,782,28,114,235,6
Cristian Herrera,ES,LPA,Forward,8,1,0,159,3,99,125,1
Cristian Rivero,ES,VAL,Goalkeeper,1,0,0,56,0,14,22,0
Cyle Larin,CA,MLL,Forward,35,3,3,1823,27,283,638,8
Cédric Bakambu,CD,BET,Forward,4,0,0,195,4,39,75,1
César Azpilicueta,ES,ATM,Defender,25,0,16,1421,29,907,1203,4
César Fernández,ES,CEL,Goalkeeper,0,0,0,0,0,0,0,0
César Montes,MX,ALM,Defender,21,0,11,1792,22,963,1182,5
César Tárrega,ES,VLL,Defender,16,1,23,1309,24,793,979,2
Daley Blind,NL,GIR,Defender,34,1,21,2971,19,2524,2925,6
Daley Sinkgraven,NL,LPA,Defender,10,0,6,375,4,236,331,0
Damián Rodríguez,ES,CEL,Midfielder,5,0,1,257,4,204,234,1
Damián Suárez,UY,NONE,NONE,0,0,0,0,0,0,0,0
Dani Carvajal,ES,RMA,Defender,28,4,22,2172,23,1272,1771,3
Dani Ceballos,ES,RMA,Midfielder,20,0,0,586,5,528,645,2
Dani Cárdenas,ES,RAY,Goalkeeper,1,0,0,90,0,35,42,0
Daniel García Carrillo,ES,ATH,Midfielder,17,1,8,738,11,330,417,4
Dani Parejo,ES,VIL,Midfielder,33,3,21,2586,18,1775,2138,4
Daniel Pérez Guerrero,ES,BET,Midfielder,0,0,0,0,0,0,0,0
Dani Rodríguez,ES,MLL,Midfielder,36,2,15,2632,61,819,1452,9
Dani Vivian,ES,ATH,Defender,33,0,31,2879,37,1698,2080,6
Daniel Budesca,ES,VIL,Defender,0,0,0,0,0,0,0,0
Daniel Cerantola Fuzato,BR,GET,Goalkeeper,1,0,0,6,0,9,12,0
Daniel Luna,CO,MIR,Midfielder,9,0,0,105,1,42,83,0
Darko Brasanac,RS,LEG,Midfielder,15,0,7,652,10,266,349,3
Darwin Machís,VE,CAD,Forward,21,4,4,782,12,219,429,0
Darío Benavides,ES,SEV,Defender,0,0,0,0,0,0,0,0
David Alaba,AT,RMA,Defender,14,0,15,1156,4,878,1015,2
David García,ES,OSA,Defender,27,0,18,2336,33,1325,1621,5
David Gil,ES,CAD,Goalkeeper,5,0,0,371,0,144,184,1
David López,ES,GIR,Midfielder,25,3,20,1975,17,1578,1804,4
David López,ES,ELC,Defender,2,0,0,3,2,2,2,0
David Otorbi,ES,VAL,Forward,0,0,0,0,0,0,0,0
David Soria,ES,GET,Goalkeeper,38,0,0,3414,1,1166,1480,3
Denis Suárez,ES,VIL,Midfielder,4,0,0,131,4,89,123,0
Diadié Samassékou,ML,CAD,Midfielder,4,0,3,87,2,47,64,0
Diego Hormigo,ES,SEV,Defender,1,0,0,36,1,9,18,0
Diego Kochen,US,BAR,Goalkeeper,0,0,0,0,0,0,0,0
Diego López,ES,VAL,Forward,36,3,20,2670,26,706,1190,2
Diego López,ES,GET,Midfielder,0,0,0,0,0,0,0,0
Diego Mariño,ES,ALM,Goalkeeper,1,0,0,90,0,21,30,0
Diego Méndez,ES,RAY,Defender,1,0,1,4,1,2,4,0
Diego Piñeiro,ES,RMA,Goalkeeper,0,0,0,0,0,0,0,0
Diego Rico,ES,GET,Defender,32,0,41,2535,32,1044,1922,10
Dimitri Foulquier,GP,VAL,Defender,33,0,16,1833,24,771,1325,3
Dimitrios Stamatakis,GR,OSA,Goalkeeper,0,0,0,0,0,0,0,0
Dion Lopy,SN,ALM,Midfielder,30,0,15,1917,30,866,1197,5
Djené Dakonam,TG,GET,Defender,33,0,23,2490,51,1040,1430,12
Djibril Sow,CH,SEV,Midfielder,24,1,17,1469,27,675,874,5
Djordjije Medenica,NONE,GET,Goalkeeper,0,0,0,0,0,0,0,0
Dodi Lukébakio,BE,SEV,Forward,23,5,2,1124,24,310,588,0
Domingos de Sousa Coutinho Meneses Duarte,PT,GET,Defender,15,0,8,906,8,376,464,3
Dominik Greif,SK,MLL,Goalkeeper,1,0,0,90,0,29,36,0
Edgar González,ES,ALM,Midfielder,31,2,38,2528,29,1343,1704,5
Edgar Pujol,ES,RMA,Defender,0,0,0,0,0,0,0,0
Eduardo Camavinga,FR,RMA,Midfielder,31,0,29,1824,49,1298,1733,9
Eghosa Bello,NG,GRA,Forward,0,0,0,0,0,0,0,0
Egoitz Muñoz,ES,NONE,NONE,0,0,0,0,0,0,0,0
Eneko Ortiz,ES,ALA,Defender,1,0,0,13,0,1,4,0
Enes Ünal,TR,BOU,Forward,16,2,1,320,10,72,166,1
Enrique Fernández,ES,BET,Midfielder,0,0,0,0,0,0,0,0
Enzo Loiodice,FR,LPA,Midfielder,34,0,12,1791,32,1100,1476,2
Eric Bailly,CI,VIL,Defender,10,0,9,838,6,383,477,4
Eric Curbelo,ES,LPA,Defender,2,0,2,101,0,58,78,0
Eric García,ES,GIR,Defender,30,5,30,2641,24,2193,2635,4
Eric Monjonell,ES,NONE,NONE,0,0,0,0,0,0,0,0
Etta Eyong,CM,CAD,Midfielder,1,0,0,20,1,2,4,0
Fabio González,ES,LPA,Midfielder,6,0,0,121,1,126,137,1
Fabrizio Angileri,AR,GET,Defender,11,0,4,160,1,89,125,2
Facundo Esnáider,ES,GET,Midfielder,0,0,0,0,0,0,0,0
Facundo Pellistri,UY,GRA,Forward,15,2,4,1220,22,262,518,0
Faitout Maouassa,FR,GRA,Defender,6,0,1,244,3,58,134,0
Rafael Jiménez Jarque,ES,CAD,Defender,30,0,27,2550,23,1033,1345,12
Famara Diédhiou,SN,NONE,NONE,0,0,0,0,0,0,0,0
Fede San Emeterio,ES,NONE,NONE,0,0,0,0,0,0,0,0
Federico Gattoni,AR,NONE,NONE,0,0,0,0,0,0,0,0
Federico Valverde,UY,RMA,Midfielder,37,2,43,2910,19,2073,2519,2
Ferland Mendy,FR,RMA,Defender,23,0,13,1725,17,1134,1454,5
Fermín López,ES,BAR,Midfielder,31,8,4,1444,43,606,917,2
Fernando Francisco Reges,BR,NONE,NONE,0,0,0,0,0,0,0,0
Fernando Martínez,ES,ALM,Goalkeeper,4,0,0,360,0,131,184,0
Ferran Torres,ES,BAR,Midfielder,29,7,5,1203,8,419,625,2
Filip Jørgensen,DK,VIL,Goalkeeper,36,0,2,3240,2,1121,1527,4
Florian Lejeune,FR,RAY,Defender,37,3,23,3328,26,2006,2432,5
Fran Beltrán,ES,CEL,Midfielder,33,0,18,2437,28,1342,1653,2
Fran García,ES,RMA,Defender,25,1,19,1396,10,813,1192,2
Francisco Javier González Pérez,ES,NONE,NONE,0,0,0,0,0,0,0,0
Fran Pérez,ES,VAL,Midfielder,32,1,14,2069,31,529,953,4
Francisco Barbosa Vieites,ES,BET,Goalkeeper,4,0,0,315,0,99,141,0
Fran Árbol,ES,GRA,Goalkeeper,0,0,0,0,0,0,0,0
Francis Coquelin,FR,VIL,Midfielder,17,0,16,909,18,429,551,4
Franco Cervi,AR,CEL,Forward,17,0,9,537,6,240,403,2
Frenkie de Jong,NL,BAR,Midfielder,20,2,14,1637,19,1639,1895,7
Gabri Veiga,ES,NONE,NONE,0,0,0,0,0,0,0,0
Gabriel Armando de Abreu,BR,ATM,Defender,5,0,4,405,4,273,322,1
Gaizka Ayesa,ES,RSO,Goalkeeper,0,0,0,0,0,0,0,0
Gaizka García,ES,ALA,Goalkeeper,0,0,0,0,0,0,0,0
Gastón Álvarez,UY,GET,Defender,34,2,35,2535,43,890,1371,7
Pablo Martín Páez Gavira,ES,BAR,Midfielder,12,1,8,943,31,526,730,5
Gerard Gumbau,ES,GRA,Midfielder,35,0,25,2684,62,1337,1818,12
Gerard Moreno,ES,VIL,Forward,30,10,9,2228,22,963,1415,0
Germán Pezzella,AR,BET,Defender,32,1,31,2770,22,1480,1821,7
Giorgi Gagua,GE,ALA,Forward,0,0,0,0,0,0,0,0
Giorgi Mamardashvili,GE,VAL,Goalkeeper,37,0,2,3285,3,967,1327,3
Giovanni González,UY,MLL,Defender,34,1,31,2464,38,997,1575,7
Giuliano Simeone,AR,ALA,Forward,14,1,5,628,11,154,277,1
Gonzalo Escalante,AR,CAD,Midfielder,25,1,27,1702,31,698,941,2
Gonzalo García,ES,RMA,Forward,2,0,0,17,0,7,12,0
Gonzalo Melero,ES,ALM,Midfielder,28,1,4,1094,21,456,622,3
Gonzalo Montiel,AR,NFO,Defender,14,0,9,802,6,318,487,5
Gonzalo Villar,ES,GRA,Midfielder,35,1,6,1784,44,910,1274,7
Gonçalo Manuel Ganchinho Guedes,PT,VIL,Midfielder,17,3,2,951,5,301,471,0
Gonçalo Mendes Paciência,PT,BOC,Forward,19,3,0,645,9,161,356,3
Gorka Guruzeta,ES,ATH,Forward,32,14,17,2240,45,603,1003,2
Gorka Rivera,ES,GET,Defender,1,0,0,2,0,5,6,0
Guilherme Borges Guedes,PT,NONE,NONE,0,0,0,0,0,0,0,0
Guido Rodríguez,AR,BET,Midfielder,24,2,29,1849,23,1032,1338,6
Guilherme Sousa Carvalho Fernandes,PT,BET,Goalkeeper,0,0,0,0,0,0,0,0
Hamari Traoré,ML,RSO,Defender,31,0,24,2296,32,1220,1797,7
Hannibal Mejbri,TN,SEV,Midfielder,6,0,0,101,4,48,80,2
Horatiu Moldovan,RO,ATM,Goalkeeper,0,0,0,0,0,0,0,0
Houboulang Mendes,GW,MIR,Defender,5,0,2,260,7,72,137,3
Hugo Duro,ES,VAL,Forward,37,13,5,2994,41,556,1049,4
Hugo González,ES,VAL,Midfielder,9,0,0,79,3,30,53,0
Hugo Guillamón,ES,VAL,Defender,26,1,12,1306,36,686,827,6
Hugo Rincón,ES,ATH,Defender,0,0,0,0,0,0,0,0
Hugo Sotelo,ES,CEL,Midfielder,17,0,2,718,16,556,686,1
Hugo Álvarez,ES,CEL,Midfielder,12,1,5,763,9,372,580,1
Héctor Bellerín,ES,BET,Defender,23,0,22,1714,21,768,1232,0
Héctor Fort,ES,BAR,Defender,7,0,2,320,8,203,259,0
Iago Aspas,ES,CEL,Forward,35,9,10,2716,19,1145,1672,6
Ianis Hagi,RO,ALA,Midfielder,22,0,5,798,13,229,454,3
Ibrahima Koné,ML,ALM,Forward,9,0,0,275,3,52,88,0
Ibrahima Kébé,ML,MIR,Midfielder,4,0,1,114,3,72,93,0
Ibrahima Sow,SN,SEV,Forward,0,0,0,0,0,0,0,0
Iddrisu Baba,GH,ALM,Midfielder,25,0,11,1425,29,647,880,5
Ignasi Miquel,ES,GRA,Defender,34,1,45,2991,32,1537,1950,5
Igor Zubeldia,ES,RSO,Midfielder,30,0,32,2523,43,1735,2023,11
Iker Almena,ES,GIR,Midfielder,0,0,0,0,0,0,0,0
Iker Muniain,ES,ATH,Forward,20,2,0,586,5,378,513,1
Iker Muñoz,ES,OSA,Midfielder,28,4,11,1856,37,970,1262,5
Iker Álvarez,AD,VIL,Goalkeeper,32,0,0,2880,1,789,1141,3
Ilaix Moriba,GN,GET,Midfielder,14,0,4,606,19,201,323,3
Ilias Akhomach,MA,VIL,Forward,2,0,1,157,2,51,99,0
Ilias Kostis,GR,ATM,Defender,0,0,0,0,0,0,0,0
Ilkay Gündogan,DE,BAR,Midfielder,36,5,21,2997,15,2337,2858,5
Imanol García de Albéniz,ES,ATH,Defender,9,0,7,523,5,260,407,2
Isaac Romero,ES,SEV,Forward,14,4,0,1050,28,192,404,2
Francisco Román Alarcón Suárez,ES,BET,Midfielder,29,8,10,2338,31,1335,2076,10
Isi Palazón,ES,RAY,Midfielder,37,4,16,2810,32,1055,1810,8
Ivan Rakitic,HR,NONE,NONE,0,0,0,0,0,0,0,0
Ivo Grbic,HR,SHU,Goalkeeper,9,0,0,772,0,271,365,1
Iván Alejo,ES,CAD,Midfielder,30,0,7,1702,49,304,803,17
Iván Balliu,AL,RAY,Defender,33,0,29,2876,41,1038,1799,4
Iván Cuéllar,ES,MLL,Goalkeeper,1,0,0,90,0,27,41,0
Iván Martín,ES,GIR,Midfielder,36,5,21,2745,27,1604,2016,5
Iván Villar,ES,CEL,Goalkeeper,12,0,0,1015,2,273,377,0
Iza Carcelén,ES,CAD,Defender,35,0,27,2609,16,856,1512,2
Iñaki González,ES,LPA,Midfielder,1,0,0,4,0,4,7,0
Ignacio Peña Sotorres,ES,BAR,Goalkeeper,10,0,0,900,0,251,336,0
Iñaki Rupérez,ES,RSO,Defender,0,0,0,0,0,0,0,0
Iñaki Williams,GH,ATH,Forward,34,12,14,2855,32,856,1571,4
Iñigo Arguibide,ES,OSA,Defender,1,0,0,16,1,3,8,0
Íñigo Martínez,ES,BAR,Defender,20,0,11,1293,10,1118,1255,5
Jacobo Ramón,ES,RMA,Defender,0,0,0,0,0,0,0,0
Jaime Mata,ES,GET,Forward,35,5,17,1790,63,472,783,8
Jan Oblak,SI,ATM,Goalkeeper,38,0,0,3420,0,843,1194,1
Jastin García,ES,GIR,Forward,3,0,0,31,0,10,20,0
Jaume Costa,ES,MLL,Defender,30,0,16,1682,25,585,1026,7
Jaume Domènech,ES,VAL,Goalkeeper,2,0,0,79,0,29,44,0
Javi Galán,ES,RSO,Midfielder,14,0,14,1075,21,499,860,3
Javi Guerra,ES,VAL,Midfielder,36,4,18,2503,40,939,1418,3
Javi Hernández,ES,CAD,Midfielder,30,1,19,2517,45,971,1633,10
Javi Llabrés,ES,MLL,Forward,16,1,3,234,5,76,156,1
Javi López,ES,ALA,Defender,32,1,10,2387,25,774,1498,3
Javi Martínez,ES,HUE,Midfielder,38,3,22,2833,46,1070,1606,7
Javi Muñoz,ES,LPA,Midfielder,37,2,20,2646,36,1226,1624,6
Javier Domínguez,ES,CEL,Defender,0,0,0,0,0,0,0,0
Javier Manquillo,ES,CEL,Defender,12,0,3,746,14,361,531,3
Javier Martón,ES,MIR,Forward,20,4,2,1227,9,181,402,5
Javier Rodríguez,ES,CEL,Defender,0,0,0,0,0,0,0,0
Javier Rueda,ES,CEL,Defender,1,0,0,19,0,13,18,0
Jaílson Marques Siqueira,BR,CEL,Midfielder,14,0,12,893,13,483,643,1
Jeremy Jorge,ES,GET,Midfielder,1,0,0,1,0,0,1,0
Jesús Areso,ES,OSA,Defender,37,1,18,2661,30,944,1766,3
Jesús Corona,MX,NONE,NONE,0,0,0,0,0,0,0,0
Jesús Navas,ES,SEV,Defender,29,0,22,2010,12,940,1499,6
Jesús Owono,GQ,ALA,Goalkeeper,4,0,0,360,0,110,146,1
Jesús Vallejo,ES,GRA,Defender,3,0,0,106,2,81,100,1
Jesús Vázquez,ES,VAL,Defender,20,1,3,705,8,179,423,1
Jhon Solís,CO,GIR,Midfielder,18,0,8,369,10,224,317,0
Joan Jordán,ES,SEV,Midfielder,8,0,4,378,1,237,290,1
Joaquín Panichelli,AR,ALA,Forward,8,0,1,222,8,44,92,0
Johan Mojica,CO,OSA,Midfielder,30,0,21,2041,22,904,1481,1
John Patrick,IE,GET,Midfielder,0,0,0,0,0,0,0,0
Johnny Cardoso,US,BET,Midfielder,17,1,32,1331,21,634,889,3
Jon Aramburu,VE,RSO,Defender,11,0,7,541,11,256,415,3
Jon Guridi,ES,ALA,Midfielder,36,3,22,2698,21,802,1157,2
Jon Karrikaburu,ES,AND,Forward,21,3,4,1334,29,208,453,4
Jon Magunazelaia,ES,RSO,Midfielder,5,0,0,118,2,42,76,0
Jon Martín,ES,RSO,Defender,1,0,0,23,0,7,10,0
Jon Moncayola,ES,OSA,Midfielder,33,1,15,1801,24,924,1217,2
Jon Olasagasti,ES,RSO,Midfielder,14,0,3,351,7,168,252,3
Jon Pacheco,ES,RSO,Defender,23,1,10,1521,29,1164,1324,8
Jonathan Bamba,CI,CEL,Midfielder,27,3,18,1993,15,703,1168,0
Jonathan Viera,ES,ALM,Forward,12,0,4,922,10,533,665,1
Jorge Benito,ES,NONE,NONE,0,0,0,0,0,0,0,0
Jorge Cuenca,ES,VIL,Defender,29,3,21,1961,25,1094,1454,7
Jorge Herrando,ES,OSA,Defender,19,0,15,1644,26,736,918,4
Jorge Martín,ES,GET,Defender,13,0,8,574,19,211,359,1
Jorge Meré,ES,CAD,Defender,10,0,8,677,1,225,305,0
Jorge Moreno,ES,OSA,Midfielder,1,0,0,13,0,6,14,0
Jorge Pascual,ES,VIL,Forward,39,4,3,2506,50,630,1098,6
Jorge de Frutos,ES,RAY,Midfielder,36,2,7,1542,15,419,723,1
Joseba Zaldúa,ES,CAD,Defender,13,0,2,709,14,186,329,3
Joseda Álvarez,ES,ALA,Defender,0,0,0,0,0,0,0,0
José Luis Mato Sanmartín,ES,RMA,Forward,34,10,6,1676,10,348,547,1
Joseph Aidoo,GH,CEL,Defender,6,0,4,407,4,181,247,0
José Antonio de la Rosa,ES,NONE,NONE,0,0,0,0,0,0,0,0
José Arnaiz,ES,OSA,Forward,26,2,3,922,8,269,504,3
José Callejón,ES,GRA,Forward,25,0,5,795,11,319,476,2
José Ángel Gómez Campaña,ES,LPA,Midfielder,8,0,2,166,0,156,190,0
José Gayà,ES,VAL,Defender,24,1,11,1797,24,793,1291,2
José Giménez,UY,ATM,Defender,22,0,10,1323,17,650,837,5
José Luís Morales,ES,VIL,Forward,29,7,7,1037,3,201,358,0
José Mari Martín,ES,NONE,NONE,0,0,0,0,0,0,0,0
José Pozo,ES,RAY,Forward,2,0,0,17,1,11,18,0
José Ángel Carmona,ES,GET,Defender,30,1,21,1312,33,466,804,9
João Pedro Cavaco Cancelo,PT,BAR,Defender,32,2,29,2506,40,1557,2343,7
João Félix Sequeira,PT,BAR,Forward,30,7,10,1542,21,627,1038,3
Juan Carlos Martín Corral,ES,GIR,Goalkeeper,0,0,0,0,0,0,0,1
Juan Cruz Álvaro Armada,ES,OSA,Defender,26,0,12,1663,20,751,1094,3
Juan Cruz,ES,LEG,Midfielder,16,4,5,959,9,278,524,2
Juan Foyth,AR,VIL,Defender,12,1,12,1062,18,575,871,1
Juan Herzog,ES,LPA,Defender,4,2,2,291,1,220,259,1
Juan Iglesias,ES,GET,Defender,23,0,16,1413,16,457,855,4
Juan Miranda,ES,BET,Defender,25,1,19,1860,21,920,1446,8
Juanlu Sánchez,ES,SEV,Midfielder,26,0,11,1174,11,552,1005,2
Juan Miguel Jiménez López,ES,CAD,Forward,16,3,6,872,24,222,363,3
Juanmi Latasa,ES,GET,Forward,32,2,4,1554,66,363,637,5
Juan Pedro Ramírez López,ES,GIR,Defender,17,0,7,739,5,548,654,4
Jude Bellingham,GB-ENG,RMA,Midfielder,28,19,21,2323,32,1500,2056,5
Julen Agirrezabala,ES,ATH,Goalkeeper,4,0,0,236,0,80,113,0
Jules Koundé,FR,BAR,Defender,35,1,25,2899,22,2517,3115,4
Julián Araujo,MX,LPA,Defender,25,1,10,1462,13,690,1051,5
Jørgen Strand Larsen,NO,CEL,Forward,37,13,5,2887,65,595,1120,5
Kaiky Fernandes Melo,BR,ALB,Defender,12,0,7,941,13,410,525,3
Kamil Józwiak,PL,GRA,Forward,11,0,2,573,13,171,268,2
Kamil Piatkowski,PL,GRA,Defender,9,0,8,506,3,226,313,1
Kepa Arrizabalaga Revuelta,ES,RMA,Goalkeeper,14,0,0,1197,0,399,504,1
Kevin Vázquez,ES,CEL,Defender,12,0,5,706,11,311,475,3
Kieran Tierney,GB-SCT,RSO,Defender,20,0,10,1243,6,728,1085,1
Kike Barja,ES,OSA,Forward,16,0,2,293,8,90,188,3
Kike García,ES,ALA,Forward,33,3,1,1421,25,288,588,3
Kike Pérez,ES,RAY,Midfielder,24,1,8,828,42,342,568,7
Kike Salas,ES,SEV,Defender,23,3,26,1604,32,967,1271,10
Kiko Femenía,ES,VIL,Defender,23,0,31,1579,25,937,1319,6
Kirian Rodríguez,ES,LPA,Midfielder,37,6,28,3216,23,3013,3486,7
Jorge Resurrección Merodio,ES,ATM,Midfielder,35,0,16,2502,19,2237,2551,5
Lamine Yamal,ES,BAR,Forward,37,5,19,2197,23,1026,1632,3
Largie Ramazani,BE,ALM,Forward,29,3,34,1560,27,303,671,7
Lassina Sangare,CI,GRA,Midfielder,0,0,0,0,0,0,0,0
Loïc Badé,FR,SEV,Defender,28,0,38,2283,24,1336,1695,5
Luca de la Torre,US,CEL,Midfielder,31,1,12,1956,40,743,1038,2
Lucas Boyé,AR,GRA,Forward,31,6,10,2554,72,609,1316,8
Lucas Cañizares,ES,RMA,Goalkeeper,0,0,0,0,0,0,0,0
Lucas Ocampos,AR,SEV,Forward,35,4,21,2885,32,999,1901,9
Lucas Pires Silva,BR,CAD,Defender,28,1,17,1527,12,584,1070,6
Lucas Robertone,AR,ALM,Midfielder,33,0,51,2389,38,1280,1771,11
Lucas Torró,ES,OSA,Midfielder,28,1,33,1788,43,794,1031,5
Lucas Vázquez,ES,RMA,Forward,29,3,12,1410,22,917,1352,0
Lucien Agoumé,FR,SEV,Midfielder,12,0,7,777,19,358,450,3
Luis Hernández,ES,NONE,NONE,0,0,0,0,0,0,0,0
Luis Milla,ES,GET,Midfielder,27,0,32,2123,43,1160,1567,6
Luis Rioja,ES,ALA,Midfielder,37,5,16,2511,22,658,1210,4
Luis Suárez,CO,ALM,Forward,15,6,0,917,18,194,377,3
Luiz Felipe Ramos Marchi,IT,NONE,NONE,0,0,0,0,0,0,0,0
Luiz Henrique André Rosa da Silva,BR,NONE,NONE,0,0,0,0,0,0,0,0
Luka Modric,HR,RMA,Midfielder,32,2,21,1685,19,1563,1887,2
Luka Romero,AR,ALM,Midfielder,13,3,1,434,8,145,252,2
Lulo Dasilva,ES,SEV,Midfielder,0,0,0,0,0,0,0,0
Luís Manuel Arantes Maximiano,PT,ALM,Goalkeeper,33,0,0,2970,1,1113,1456,1
Lázaro Vinícius Marques,BR,NONE,NONE,0,0,0,0,0,0,0,0
Leonardo Micali Carrilho Baptistão,BR,ALM,Forward,32,6,11,1843,21,530,850,6
Malcom Abdulai Ares Djaló,ES,ATH,Forward,12,0,1,258,5,93,172,2
Mamadou Sylla,SN,VLL,Forward,29,8,2,2241,28,379,758,6
Manu Bueno,ES,SEV,Midfielder,4,0,0,99,1,49,73,1
Manu Morlanes,ES,MLL,Midfielder,35,0,20,1610,15,781,1038,2
Manu Sánchez,ES,CEL,Defender,26,0,19,1776,21,638,1149,3
Manu Trigueros,ES,VIL,Midfielder,14,0,3,299,5,160,212,0
Manu Vallejo,ES,ZAR,Forward,29,2,7,913,9,301,540,1
Marc Bartra,ES,BET,Defender,3,0,3,225,4,116,148,1
Marc Cardona,ES,LPA,Forward,26,4,2,724,12,222,386,4
Marc Casadó,ES,BAR,Midfielder,2,0,1,13,0,6,13,0
Marc Guiu,ES,BAR,Forward,3,1,0,73,1,8,23,1
Marc Martínez,ES,GRA,Goalkeeper,3,0,0,270,0,89,113,0
Marc Pubill,ES,ALM,Defender,23,1,15,1889,21,701,1337,2
Marc Roca,ES,BET,Midfielder,26,2,17,1986,48,1158,1474,5
Marc-André ter Stegen,DE,BAR,Goalkeeper,28,0,0,2520,0,919,1142,3
Marciano Sanca Tchami,GW,ALC,Forward,11,0,3,326,11,68,155,0
Marco Camus,ES,VAL,Midfielder,0,0,0,0,0,0,0,0
Marco Moreno,ES,ATM,Defender,0,0,0,0,0,0,0,0
Marcos Acuña,AR,SEV,Defender,21,1,4,1296,18,641,1039,7
Marcos Alonso,ES,BAR,Defender,5,0,4,250,7,172,258,0
Marcos Fernández,ES,MLL,Defender,0,0,0,0,0,0,0,0
Marcos Llorente,ES,ATM,Midfielder,37,6,14,2570,31,1066,1522,5
Marcos Peña,ES,ALM,Midfielder,7,0,13,439,8,217,291,3
Marcos do Nascimento Teixeira,BR,SEV,Defender,7,0,4,354,5,195,249,2
Marko Milovanovic,RS,ALM,Forward,11,1,0,301,15,67,112,0
Mariano Díaz,DO,SEV,Forward,9,0,0,239,8,51,95,1
Mario Domínguez,ES,VAL,Forward,3,0,0,23,0,4,10,0
Mario González,ES,GRA,Midfielder,0,0,0,0,0,0,0,0
Mario Hermoso,ES,ATM,Defender,31,0,30,2556,32,1780,2268,9
Mario Martín,ES,RMA,Midfielder,2,0,0,16,1,15,26,0
Mario de Luis,ES,RMA,Goalkeeper,0,0,0,0,0,0,0,0
Marko Dmitrovic,RS,SEV,Goalkeeper,13,0,1,1170,0,323,467,1
